
{'loss': 3.0321, 'grad_norm': 4.194638336789604, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 3.2354, 'grad_norm': 4.456508120000576, 'learning_rate': 2.0801459767650946e-05, 'epoch': 0.04}
{'loss': 3.073, 'grad_norm': 4.754729052169736, 'learning_rate': 3.296953369198657e-05, 'epoch': 0.05}
{'loss': 3.3111, 'grad_norm': 4.499470783315837, 'learning_rate': 4.160291953530189e-05, 'epoch': 0.07}
{'loss': 3.1149, 'grad_norm': 3.9354846723767767, 'learning_rate': 4.829949384917788e-05, 'epoch': 0.09}
{'loss': 2.9452, 'grad_norm': 4.1921129105764265, 'learning_rate': 5.377099345963752e-05, 'epoch': 0.11}
{'loss': 2.8875, 'grad_norm': 4.02646140633733, 'learning_rate': 5.839708046469812e-05, 'epoch': 0.13}
{'loss': 2.6398, 'grad_norm': 3.5306827900858693, 'learning_rate': 6.240437930295284e-05, 'epoch': 0.15}
{'loss': 2.5943, 'grad_norm': 4.1711957450513975, 'learning_rate': 6.593906738397314e-05, 'epoch': 0.16}
{'loss': 2.5727, 'grad_norm': 4.2616935057019, 'learning_rate': 6.910095361682884e-05, 'epoch': 0.18}
{'loss': 2.2348, 'grad_norm': 2.7463160816554026, 'learning_rate': 7.196122763402334e-05, 'epoch': 0.2}
{'loss': 2.1383, 'grad_norm': 4.088252253874227, 'learning_rate': 7.457245322728847e-05, 'epoch': 0.22}
{'loss': 2.067, 'grad_norm': 3.5275312315776173, 'learning_rate': 7.697454791952954e-05, 'epoch': 0.24}
{'loss': 2.0244, 'grad_norm': 2.618975768570963, 'learning_rate': 7.919854023234906e-05, 'epoch': 0.25}
{'loss': 2.097, 'grad_norm': 1.5961938741424058, 'learning_rate': 8.126902754116444e-05, 'epoch': 0.27}
{'loss': 1.8608, 'grad_norm': 1.4950945528460613, 'learning_rate': 8.320583907060378e-05, 'epoch': 0.29}
{'loss': 1.9344, 'grad_norm': 1.2996125090055413, 'learning_rate': 8.502519384403718e-05, 'epoch': 0.31}
{'loss': 1.7938, 'grad_norm': 1.3933629964665049, 'learning_rate': 8.674052715162407e-05, 'epoch': 0.33}
{'loss': 1.8736, 'grad_norm': 1.2098539665855936, 'learning_rate': 8.836309326679428e-05, 'epoch': 0.34}
{'loss': 1.5712, 'grad_norm': 1.2090110724370324, 'learning_rate': 8.990241338447977e-05, 'epoch': 0.36}
{'loss': 1.7988, 'grad_norm': 1.0192075727830525, 'learning_rate': 9.136661415668469e-05, 'epoch': 0.38}
{'loss': 1.6599, 'grad_norm': 1.0885708356762744, 'learning_rate': 9.27626874016743e-05, 'epoch': 0.4}
{'loss': 1.7264, 'grad_norm': 0.7823647987294512, 'learning_rate': 9.409669203539638e-05, 'epoch': 0.42}
{'loss': 1.5536, 'grad_norm': 0.9588817447642307, 'learning_rate': 9.537391299493941e-05, 'epoch': 0.44}
{'loss': 1.7489, 'grad_norm': 1.0824288982320245, 'learning_rate': 9.659898769835576e-05, 'epoch': 0.45}
{'loss': 1.4575, 'grad_norm': 0.8820132079703962, 'learning_rate': 9.777600768718049e-05, 'epoch': 0.47}
{'loss': 1.5889, 'grad_norm': 1.0748381523521058, 'learning_rate': 9.890860107595971e-05, 'epoch': 0.49}
{'loss': 1.4922, 'grad_norm': 1.0149435811417484, 'learning_rate': 0.0001, 'epoch': 0.51}
{'loss': 1.401, 'grad_norm': 0.9039215788591013, 'learning_rate': 0.0001, 'epoch': 0.53}
{'loss': 1.6933, 'grad_norm': 1.9255753740883401, 'learning_rate': 9.980842911877395e-05, 'epoch': 0.54}
{'loss': 1.5886, 'grad_norm': 1.7564874804404644, 'learning_rate': 9.96168582375479e-05, 'epoch': 0.56}
{'loss': 1.5461, 'grad_norm': 1.0060599711887144, 'learning_rate': 9.942528735632183e-05, 'epoch': 0.58}
{'loss': 1.4068, 'grad_norm': 1.023292965238509, 'learning_rate': 9.92337164750958e-05, 'epoch': 0.6}
{'loss': 1.5801, 'grad_norm': 0.9599151605986493, 'learning_rate': 9.904214559386974e-05, 'epoch': 0.62}
{'loss': 1.4724, 'grad_norm': 0.8700786633492306, 'learning_rate': 9.885057471264369e-05, 'epoch': 0.63}
{'loss': 1.4523, 'grad_norm': 1.1896362843462467, 'learning_rate': 9.865900383141762e-05, 'epoch': 0.65}
{'loss': 1.4257, 'grad_norm': 0.9059817578618163, 'learning_rate': 9.846743295019157e-05, 'epoch': 0.67}
{'loss': 1.5309, 'grad_norm': 1.0139019168553627, 'learning_rate': 9.827586206896552e-05, 'epoch': 0.69}
{'loss': 1.4312, 'grad_norm': 0.7886107520023078, 'learning_rate': 9.808429118773947e-05, 'epoch': 0.71}
{'loss': 1.5662, 'grad_norm': 0.7416646200852213, 'learning_rate': 9.789272030651341e-05, 'epoch': 0.73}
{'loss': 1.3409, 'grad_norm': 1.4798810232685458, 'learning_rate': 9.770114942528736e-05, 'epoch': 0.74}
{'loss': 1.5834, 'grad_norm': 0.8480167589318331, 'learning_rate': 9.750957854406131e-05, 'epoch': 0.76}
{'loss': 1.5183, 'grad_norm': 0.8506702969106632, 'learning_rate': 9.731800766283526e-05, 'epoch': 0.78}
{'loss': 1.6101, 'grad_norm': 1.1026053947697037, 'learning_rate': 9.71264367816092e-05, 'epoch': 0.8}
{'loss': 1.6075, 'grad_norm': 1.0817416439045344, 'learning_rate': 9.693486590038314e-05, 'epoch': 0.82}
{'loss': 1.4228, 'grad_norm': 0.849200061283471, 'learning_rate': 9.674329501915709e-05, 'epoch': 0.83}
{'loss': 1.3681, 'grad_norm': 0.9221116933463127, 'learning_rate': 9.655172413793105e-05, 'epoch': 0.85}
{'loss': 1.4084, 'grad_norm': 0.9973851006300621, 'learning_rate': 9.6360153256705e-05, 'epoch': 0.87}
{'loss': 1.7442, 'grad_norm': 0.9669973220987182, 'learning_rate': 9.616858237547893e-05, 'epoch': 0.89}
{'loss': 1.4976, 'grad_norm': 0.7721908878667295, 'learning_rate': 9.597701149425288e-05, 'epoch': 0.91}
{'loss': 1.3461, 'grad_norm': 0.7968314343347944, 'learning_rate': 9.578544061302682e-05, 'epoch': 0.93}
{'loss': 1.4006, 'grad_norm': 0.8474770405387155, 'learning_rate': 9.559386973180077e-05, 'epoch': 0.94}
{'loss': 1.5228, 'grad_norm': 0.8773854748828698, 'learning_rate': 9.540229885057472e-05, 'epoch': 0.96}
{'loss': 1.3072, 'grad_norm': 1.2112694542268616, 'learning_rate': 9.521072796934867e-05, 'epoch': 0.98}
{'loss': 1.4255, 'grad_norm': 1.0479027326531605, 'learning_rate': 9.501915708812261e-05, 'epoch': 1.0}
{'loss': 2.8213, 'grad_norm': 2.638211053369895, 'learning_rate': 9.482758620689656e-05, 'epoch': 1.02}
{'loss': 1.378, 'grad_norm': 1.0662201558485278, 'learning_rate': 9.463601532567051e-05, 'epoch': 1.03}
{'loss': 1.3719, 'grad_norm': 0.7995165291732779, 'learning_rate': 9.444444444444444e-05, 'epoch': 1.05}
{'loss': 1.5147, 'grad_norm': 0.7605395678432119, 'learning_rate': 9.425287356321839e-05, 'epoch': 1.07}
{'loss': 1.287, 'grad_norm': 0.7921085799248001, 'learning_rate': 9.406130268199235e-05, 'epoch': 1.09}
{'loss': 1.5073, 'grad_norm': 0.697244783280294, 'learning_rate': 9.38697318007663e-05, 'epoch': 1.11}
{'loss': 1.2468, 'grad_norm': 0.9006049185914125, 'learning_rate': 9.348659003831418e-05, 'epoch': 1.14}
{'loss': 1.1973, 'grad_norm': 0.7613184004299426, 'learning_rate': 9.329501915708813e-05, 'epoch': 1.16}
